questionid,category,round,question,solution,explanation,type,action
1,Articles,1,"These devices generate huge amount of data that could be used by doctors to enhance patients' care (Burrus, 2015).","These devices generate a huge amount of data that could be used by doctors to enhance patients' care (Burrus, 2015).",Article required,C,insert
1,Articles,1,Fashion items make up large portion of e-commerce transactions.,Fashion items make up a large portion of e-commerce transactions.,"The word ""portion"" is a single, countable noun and therefore needs ""a"" or ""the"" in front of it, depending on the context.",SP,insert
1,Articles,2,"Firstly, increasing number of people are reviving mindfulness meditation as a form of therapy.","Firstly, an increasing number of people are reviving mindfulness meditation as a form of therapy.",Article required,C,insert
1,Articles,3,"In the recent years, the rise of technology in the beauty industry has resulted in the emergence of two trends that directly impact our readers.","In recent years, the rise of technology in the beauty industry has resulted in the emergence of two trends that directly impact our readers.",No article required,C,remove
1,Articles,4,"The Sugar Detox Diet, which aims to promote a healthier living, was prompted by a growing awareness of the detrimental effects of sugar.","The Sugar Detox Diet, which aims to promote healthier living, was prompted by a growing awareness of the detrimental effects of sugar.",No article required,C,remove
1,Preposition,1,A study by ABI Research (2017) forecasted that the revenue of wearable devices will grow over 40% within the next five years.,A study by ABI Research (2017) forecasted that the revenue of wearable devices will grow by over 40% within the next five years.,Idiomatic expressions: will grow by and will grow by over. W,C,insert
1,Preposition,1,One method to measure brand positioning would be conduct surveys.,One method to measure brand positioning would be to conduct surveys.,"Modals or modal auxiliary verbs (can, could, may, might, will, would, shall) are used before the infinitives (base or original form) of other verbs (e.g. ""be to conduct"" in this case).",SP,insert
1,Preposition,2,I have researched on recent health food trends.,I have researched recent health food trends.,No preposition required after research as a verb,C,remove
1,Preposition,3,Board games help people to build up social skills while having fun together.,Board games help people to build social skills while having fun together.,No preposition required because the direction of build should be upwards.,C,remove
1,Preposition,4,The cost of a mobile phone can amount from $1000.,The cost of a mobile phone can amount to $1000.,"Amount to means up to an amount, as in this case.",C,replace
1,Punctuation,1,An organisation with family friendly policies will be more attractive to millennials.,An organisation with family-friendly policies will be more attractive to millennials.,hyphenate 'family' and 'friendly' because both words modify the noun 'policies',C,insert
1,Punctuation,1,"In comparison the Esplanade spends four times more on arts programmes and activities (Esplanade, 2017).","In comparison, the Esplanade spends four times more on arts programmes and activities (Esplanade, 2017).","You need a comma after the transition phrase ""in comparison"".",SP,insert
1,Punctuation,2,"To encourage entrepreneurship, SMU should start a student run shop in the basement.","To encourage entrepreneurship, SMU should start a student-run shop in the basement.",hyphenate 'student' and 'run' because both words modify the noun 'shop',C,insert
1,Punctuation,3,"His writing style also, instils an urgency in employers to cater to the needs of millennial employees.",His writing style also instils an urgency in employers to cater to the needs of millennial employees.,Comma is not needed,C,remove
1,Punctuation,4,"Critics would argue that gaming is no different from other sports, However, gaming does lead to high stress levels.","Critics would argue that gaming is no different from other sports. However, gaming does lead to high stress levels.","Comma Splice: Two independent clauses cannot be joined with 'however' because it is NOT a conjunction. To join these two sentences, you can use a coordinating conjunction (e.g. but) or a semicolon",C,replace
1,Subject Verb Agreement,1,An explanation of the statistics are required to make the data easy to understand.,An explanation of the statistics is required to make the data easy to understand.,"""explanation"" takes the singular form of the verb.",C,replace
1,Subject Verb Agreement,1,Even readers who uses AR will likely be amazed by its capabilities and potential.,Even readers who use AR will likely be amazed by its capabilities and potential.,"""readers"" takes the plural form of the verb.",SP,replace
1,Subject Verb Agreement,2,Both articles gives employers advice on how to deal with the millennial workforce.,Both articles give employers advice on how to deal with the millennial workforce.,"""articles"" takes the plural form of the verb.",C,replace
